"activity" "subject" "measurement" "mean(value)"
"LAYING" 20 "tBodyAcc-mean()-X" 0.268210689679487
"LAYING" 20 "tBodyAcc-mean()-Y" -0.0154394352991026
"LAYING" 20 "tBodyAcc-mean()-Z" -0.103432062417949
"LAYING" 20 "tGravityAcc-mean()-X" 0.590974958467949
"LAYING" 20 "tGravityAcc-mean()-Y" 0.00243648291666667
"LAYING" 20 "tGravityAcc-mean()-Z" 0.107789718651859
"LAYING" 20 "tBodyAccJerk-mean()-X" 0.0750346921474359
"LAYING" 20 "tBodyAccJerk-mean()-Y" -0.00274400097455128
"LAYING" 20 "tBodyAccJerk-mean()-Z" -0.00251495485183974
"LAYING" 20 "tBodyGyro-mean()-X" -0.0224726834409615
"LAYING" 20 "tBodyGyro-mean()-Y" -0.0789627194310256
"LAYING" 20 "tBodyGyro-mean()-Z" 0.0900253976657692
"LAYING" 20 "tBodyGyroJerk-mean()-X" -0.0945547052108333
"LAYING" 20 "tBodyGyroJerk-mean()-Y" -0.0402012429820513
"LAYING" 20 "tBodyGyroJerk-mean()-Z" -0.0525724570615385
"LAYING" 20 "tBodyAccMag-mean()" -0.452429326099846
"LAYING" 20 "tGravityAccMag-mean()" -0.452429326099846
"LAYING" 20 "tBodyAccJerkMag-mean()" -0.564555998864103
"LAYING" 20 "tBodyGyroMag-mean()" -0.435122258175641
"LAYING" 20 "tBodyGyroJerkMag-mean()" -0.624627827903846
"LAYING" 20 "fBodyAcc-mean()-X" -0.57063792171218
"LAYING" 20 "fBodyAcc-mean()-Y" -0.324959680379103
"LAYING" 20 "fBodyAcc-mean()-Z" -0.67195587225
"LAYING" 20 "fBodyAcc-meanFreq()-X" -0.273541700883974
"LAYING" 20 "fBodyAcc-meanFreq()-Y" 0.040394045223718
"LAYING" 20 "fBodyAcc-meanFreq()-Z" 0.0964331545981603
"LAYING" 20 "fBodyAccJerk-mean()-X" -0.624523279069231
"LAYING" 20 "fBodyAccJerk-mean()-Y" -0.466996133878205
"LAYING" 20 "fBodyAccJerk-mean()-Z" -0.730766642435897
"LAYING" 20 "fBodyAccJerk-meanFreq()-X" -0.140843708823077
"LAYING" 20 "fBodyAccJerk-meanFreq()-Y" -0.270189613514551
"LAYING" 20 "fBodyAccJerk-meanFreq()-Z" -0.171111060928654
"LAYING" 20 "fBodyGyro-mean()-X" -0.579382474189103
"LAYING" 20 "fBodyGyro-mean()-Y" -0.526303994216667
"LAYING" 20 "fBodyGyro-mean()-Z" -0.431155163544231
"LAYING" 20 "fBodyGyro-meanFreq()-X" -0.129845704680769
"LAYING" 20 "fBodyGyro-meanFreq()-Y" -0.160848125435897
